id,title,postingDate,salary,hours,closingDate,location,state,city,company,jobType,category,jobReference,additionalSalaryInf
1,Care Home Cook,07 November 2023,£12.50 per hour,Part time,07 December 2023,"Dover, Kent",South East Englasd,Kent,Charing Gardens Ltd,Permanent,Healthcare & Nursing Jobs,WS,None
2,Care Assistant,07 November 2023,£10.80 to £11.00 per hour,Part time,07 December 2023,"Gillingham, Kent",South East Englasd,Kent,Charing Gardens Ltd,Permanent,Healthcare & Nursing Jobs,PV,None
3,Senior Sister Critical Care,07 November 2023,"£43,742.00 to £50,056.00 per year",Full time,21 November 2023,"Canterbury, CT1 3NG",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9344-23-1459,£43742.00 - £50056.00 a year
4,Critical Care Clinical Skills and Learning Facilitator,07 November 2023,"£35,392.00 to £42,618.00 per year",Full time,21 November 2023,"Canterbury, CT1 3NG",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9344-23-1460,£35392.00 - £42618.00 a year
5,Health Visitor,07 November 2023,"£35,392.00 to £42,618.00 per year",Full time,21 November 2023,"Ashford, TN23 4EY",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9846-23-0819,£35392.00 - £42618.00 a year
6,Admin Support Assistant,07 November 2023,"£22,383.00 per year",Full time,21 November 2023,"Canterbury, CT13NG",South East Englasd,Kent,NHS Jobs,Contract,Healthcare & Nursing Jobs,C9344-23-1458,£22383.00 a year
7,Clinical Support Worker - Galton Day Unit,07 November 2023,"£22,383.00 per year",Full time,20 November 2023,"Gillingham, ME7 5NY",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9275-23-0702,£22383.00 a year
8,Senior community physiotherapist,07 November 2023,"£35,392.00 to £42,618.00 per year",Full time,21 November 2023,"Rochester, ME3 9AE",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,B9813-23-0309,£35392.00 - £42618.00 a year
9,Staff Nurse,07 November 2023,"£27,055 to £32,422 per year",Full time,07 December 2023,"Sidcup, DA14 6LT",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,E0141-23-0075,£27055 - £32422 a year
10,Dermatology Waiting List Co-ordinator,07 November 2023,"£22,816.00 to £24,336.00 per year",Full time,21 November 2023,"Canterbury, CT1 3NG",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9344-23-1457,£22816.00 - £24336.00 a year
11,Highly Specialist Speech and Language Therapist,07 November 2023,"£43,742.00 to £50,056.00 per year",Full time,19 November 2023,"Rochester, ME1 3YB",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9333-23-2525,£43742.00 - £50056.00 a year
12,Paediatric Diabetes Specialist Nurse,07 November 2023,"£35,392.00 to £42,618.00 per year",Full time,21 November 2023,"Ashford, TN24 0LZ",South East Englasd,Kent,NHS Jobs,Permanent,Healthcare & Nursing Jobs,C9344-23-1456,£35392.00 - £42618.00 a year
